will_end_trend_at_period_t+1_or_not,t_period_log_views_per_day_percentage_change,appeared_times
True,-4.925431980429369,3
True,-2.919367637975544,1
False,-3.5652923218213366,1
True,-4.074413454450436,2
False,-4.553600835684917,1
True,-4.8426607191019935,2
False,-4.005406904965111,1
True,-4.423427409037186,2
False,-4.005406904965111,1
True,-4.423427409037186,2
False,-4.072931800304481,1
True,-4.963175997484094,2
False,-4.072931800304481,1
True,-4.963175997484094,2
False,-3.736035492626808,1
True,-4.250695895000373,2
False,-3.7329714697029317,1
True,-4.293039740927012,2
False,-4.303519754658612,1
True,-4.697038472245905,2
False,-5.1356786574445925,1
True,-5.993477610784398,2
False,-3.1739869632189697,1
True,-3.9268170891978786,2
False,-4.110394497203229,1
True,-4.8058353244608005,2
False,-3.7827681695708835,1
True,-4.1237263665998,2
False,-2.8806035686120146,1
True,-3.2697878421412705,2
False,-4.229672336245575,1
True,-4.9065404186049975,2
False,-4.008236673068287,1
True,-4.7308806120013704,2
False,-3.8171982595978595,1
True,-4.398768199687247,2
False,-4.629382369012056,1
True,-5.169140427643816,2
False,-4.018437751008284,1
True,-4.565176507575908,2
False,-4.543831506349212,1
True,-4.963182842385349,2
False,-3.52758096067799,1
True,-3.7875225245295705,2
False,-5.43811395235567,1
True,-5.958222683776086,2
False,-1.8100874387470245,1
True,-2.266493963752807,2
False,-1.8100874387470245,1
True,-2.266493963752807,2
False,-1.8100874387470245,1
True,-2.266493963752807,2
False,-2.290750635347043,1
True,-2.8911924123461743,2
False,-4.686798252805855,1
True,-5.220924486151009,2
False,-5.911166667380091,1
True,-6.086548618534028,2
False,-5.911166667380091,1
True,-6.086548618534028,2
False,-5.818653180315019,1
True,-5.820159457852123,2
False,-4.562600415418476,1
True,-5.188478377668567,2
False,-2.205050869625238,1
True,-2.5497990993287276,2
False,-4.413083855729794,1
True,-4.94890488197454,2
False,-2.4123993519409894,1
True,-2.766109219425128,2
False,-4.723371436807926,1
True,-5.309933348551864,2
False,-2.1261782723730365,1
True,-2.611166064192325,2
False,-2.1026900029085667,1
True,-2.5661676429360236,2
False,-3.726166152985739,1
True,-4.355493212332942,2
True,-3.0105004118839953,1
False,-3.125521721731738,1
True,-3.1040783848520728,2
False,-3.386147154266592,1
True,-3.8028968137153827,2
False,-2.796744857978311,1
True,-3.219077339746834,2
False,-3.104245785967031,1
True,-3.474426364136801,2
False,-3.104245785967031,1
True,-3.474426364136801,2
False,-2.2162433087425595,1
True,-2.556616064502688,2
True,-5.443666500073625,1
True,-4.070606813576908,1
False,-4.429923423377517,1
True,-4.445787693980447,2
True,-4.071912090887533,1
True,-4.131318139898662,1
False,-2.7942003408191183,1
True,-3.606329086103141,2
True,-4.5271259836486,1
True,-5.116346397641616,1
True,-3.9362689497288157,1
True,-5.967728542040093,1
True,-4.7814393680500755,1
True,-3.148110465125334,1
True,-3.148110465125334,1
True,-3.148110465125334,1
True,-3.148110465125334,1
True,-3.148110465125334,1
True,-3.148110465125334,1
True,-3.148110465125334,1
True,-3.148110465125334,1
False,-0.7045238273608164,1
True,-1.4709049093460103,2
False,-0.9428724999938388,1
True,-2.167446130886179,2
False,0.37868604036216985,1
False,-1.7761476505138276,2
False,-2.441516767530008,3
False,-2.6662290244601783,4
False,-2.996856614444788,5
False,-3.381087744446889,6
False,-3.6199124747173843,7
False,-4.058217445627834,8
False,-4.391352502854981,9
False,-4.391110230088081,10
False,-4.206715856752565,11
False,-4.214720225642432,12
True,-4.6161380826645635,13
False,-0.9665397432728111,1
False,-2.137695269707982,2
False,-2.8111915932264315,3
False,-3.2075444939821818,4
False,-3.5085206752629783,5
False,-3.653120507424418,6
True,-4.147366074897959,7
False,-0.6163839673308764,1
False,-1.0079245454891415,2
False,-1.3843756789071007,3
False,-1.7065116548720247,4
False,-1.8930658968249323,5
False,-2.8820367840597743,6
False,-3.571267253764967,7
False,-3.804319657724447,8
False,-4.111667209787062,9
False,-4.252232192112356,10
False,-4.35072014772829,11
False,-4.406260870419537,12
True,-4.0654586677230204,13
False,-0.6163839673308764,1
False,-1.0079245454891415,2
False,-1.3843756789071007,3
False,-1.7065116548720247,4
False,-1.8930658968249323,5
False,-2.8820367840597743,6
False,-3.571267253764967,7
False,-3.804319657724447,8
False,-4.111667209787062,9
False,-4.252232192112356,10
False,-4.35072014772829,11
False,-4.406260870419537,12
True,-4.0654586677230204,13
True,-1.378927532140184,1
True,-0.1391580235330972,1
True,-2.853260550594962,1
False,-1.4626424450269735,1
False,-1.9164451156614093,2
False,-1.5658016784129511,3
